title,link,date,summary
'He handed her a knife': Growing number of domestic violence victims taking their own lives,https://news.sky.com/story/growing-number-of-domestic-violence-victims-are-taking-their-own-lives-13316691,2025-03-06 04:26:00,No summary
Trump tells Gazans 'you are dead' if Israeli hostages are not immediately handed over,https://news.sky.com/story/us-holds-talks-with-hamas-13322252,2025-03-05 23:20:00,No summary
Refugees being forced to fight for same military accused of genocide against their people,https://news.sky.com/story/rohingya-refugees-in-bangladesh-being-forced-to-fight-for-same-military-accused-of-genocide-against-their-people-13321945,2025-03-06 05:55:00,No summary
Child dies and another injured after car driven on to sports pitch,https://news.sky.com/story/child-dies-and-another-injured-after-car-driven-onto-sports-pitch-with-man-arrested-13322232,2025-03-05 20:30:00,No summary
Anger over 'two-tier sentencing' as Justice Secretary rejects new guidelines,https://news.sky.com/story/anger-over-two-tier-sentencing-as-justice-secretary-shabana-mahmood-rejects-new-guidelines-13322444,2025-03-06 03:47:00,No summary
Train performance stats to be displayed at stations for the first time,https://news.sky.com/story/train-performance-stats-to-be-displayed-at-stations-in-new-era-of-accountability-13322143,2025-03-06 03:19:00,No summary
Doctors demand smacking ban in England to end 'Victorian-era punishment',https://news.sky.com/story/doctors-demand-smacking-ban-in-england-to-end-victorian-era-punishment-which-harms-children-13322457,2025-03-06 06:00:00,No summary
Sky News wins best News Channel at Royal Television Society awards - as Sophy Ridge named Presenter of the Year,https://news.sky.com/story/sky-news-wins-news-channel-of-the-year-for-eighth-year-in-a-row-at-rts-journalism-awards-13322406,2025-03-06 02:54:00,No summary
Thursday's national newspaper front pages,https://news.sky.com/story/wednesdays-national-newspaper-front-pages-12427754,2025-03-06 01:20:00,No summary
Boxer who won refugee team's first-ever Olympic medal turns pro after UK citizenship rejection,https://news.sky.com/story/olympic-boxer-who-won-refugee-teams-first-ever-medal-to-make-professional-debut-13322380,2025-03-06 02:53:00,No summary
"US stops sharing all intelligence with Ukraine, source says",https://news.sky.com/story/us-stops-sharing-all-intelligence-with-ukraine-source-tells-sky-news-13322070,2025-03-06 08:04:59,No summary
Hong Kong firm sells major Panama Canal ports to US firm,https://news.sky.com/story/hong-kong-firms-sells-major-panama-canal-ports-to-us-firm-after-trump-pressure-13321850,2025-03-06 08:04:59,No summary
Trump makes US tariff concession to carmakers,https://news.sky.com/story/trump-moves-to-exclude-carmakers-from-tariff-pain-13322200,2025-03-06 08:04:59,No summary
Fact-checking Trump: What did he get wrong... and right?,https://news.sky.com/story/donald-trump-fact-checking-the-president-what-did-he-get-wrong-and-right-13321755,2025-03-06 08:04:59,No summary
China's patience with Donald Trump is running out - as trade war rhetoric ramps up,https://news.sky.com/story/chinas-patience-with-donald-trump-is-running-out-as-trade-war-rhetoric-ramps-up-13321962,2025-03-06 08:04:59,No summary
China 'ready for any type of war' with US,https://news.sky.com/story/trump-admits-tariffs-disturbance-as-china-says-it-is-ready-for-any-type-of-war-with-us-13321754,2025-03-06 08:04:59,No summary
Refugees forced to fight for army accused of genocide,https://news.sky.com/video/rohingya-refugees-forced-to-fight-for-military-responsible-for-their-genocide-13322307,2025-03-06 08:04:59,No summary
'He was telling her to take her life',https://news.sky.com/video/more-victims-of-domestic-abuse-take-their-own-life-than-are-killed-by-partners-13322262,2025-03-06 08:04:59,No summary
Scientists create woolly mice with mammoth traits,https://news.sky.com/video/scientists-create-woolly-mice-in-their-quest-to-revive-the-woolly-mammoth-13322408,2025-03-06 08:04:59,No summary
Donald Trump meets freed Israeli hostages,https://news.sky.com/video/well-get-them-out-donald-trump-meets-freed-israeli-hostages-at-white-house-13322386,2025-03-06 08:04:59,No summary
Heavy snow hits parts of Iowa,https://news.sky.com/video/iowa-hit-with-blizzard-conditions-as-snow-blankets-parts-of-state-13322312,2025-03-06 08:04:59,No summary
Pink Floyd re-release restored concert film,https://news.sky.com/video/pink-floyd-release-trailer-for-newly-restored-1972-pompeii-concert-film-13322303,2025-03-06 08:04:59,No summary
Chancellor's Spring Statement preview,https://news.sky.com/video/what-can-we-expect-in-the-chancellors-spring-statement-skys-sam-coates-explains-13322279,2025-03-06 08:04:59,No summary
Our future not decided in Moscow or DC,https://news.sky.com/video/macron-the-future-of-europe-cannot-be-decided-in-moscow-or-washington-13322266,2025-03-06 08:04:59,No summary
Jesse Eisenberg becomes Polish citizen,https://news.sky.com/video/jesse-eisenberg-granted-polish-citizenship-13322173,2025-03-06 08:04:59,No summary
Powerful dust storm leaves drivers stranded,https://news.sky.com/video/massive-dust-storm-leaves-drivers-stranded-as-it-sweeps-across-new-mexico-and-texas-13322167,2025-03-06 08:04:59,No summary
Zelenskyy is a 'punk',https://news.sky.com/video/steven-bannon-us-should-not-do-a-deal-with-ukraine-as-zelenskyy-had-his-shot-13321472,2025-03-06 08:04:59,No summary
Mice give each other 'mouth-to-mouth',https://news.sky.com/video/mice-rodents-perform-first-aid-on-each-other-13321187,2025-03-06 08:04:59,No summary
Starmer: Trump would 'have our backs',https://news.sky.com/video/starmer-says-trump-would-have-our-backs-as-nato-ally-during-pmqs-13321971,2025-03-06 08:04:59,No summary
Sky News given rare access to Ukrainian drone launch,https://news.sky.com/video/sky-news-given-rare-access-to-ukrainian-drone-launch-13320980,2025-03-06 08:04:59,No summary
Smoke bombs thrown in Serbian parliament,https://news.sky.com/video/serbia-chaos-in-parliament-as-smoke-grenades-thrown-and-mps-brawl-13321255,2025-03-06 08:04:59,No summary
Sky News meets Zelenskyy: The key moments,https://news.sky.com/video/meeting-zelenskyy-from-the-ukraine-summit-to-the-interview-at-stansted-airport-13320597,2025-03-06 08:04:59,No summary
Oscars 2025: Sky News team makes predictions,https://news.sky.com/video/oscars-2025-sky-news-team-predicts-this-years-winners-13318759,2025-03-06 08:04:59,No summary
What happened at the 2025 BRIT Awards?,https://news.sky.com/video/charli-xcx-tributes-and-politics-what-happened-at-the-2025-brit-awards-13319935,2025-03-06 08:04:59,No summary
Prince William's St David's Day Welsh message,https://news.sky.com/video/william-the-prince-of-wales-delivers-a-special-st-davids-day-message-in-welsh-13319507,2025-03-06 08:04:59,No summary
Selfies from the BRIT Awards red carpet,https://news.sky.com/video/selfies-from-the-brit-awards-2025-what-did-the-celebrities-say-on-the-red-carpet-13319928,2025-03-06 08:04:59,No summary
Donald Trump meets freed Israeli hostages,https://news.sky.com/video/well-get-them-out-donald-trump-meets-freed-israeli-hostages-at-white-house-13322386,2025-03-06 08:04:59,No summary
Gazans evacuated to Jordan,https://news.sky.com/video/children-with-emergency-medical-needs-cross-to-jordan-from-gaza-13321972,2025-03-06 08:04:59,No summary
Trucks return after Israel blocks entry,https://news.sky.com/video/trucks-return-from-rafah-border-after-israel-blocks-entry-13320468,2025-03-06 08:04:59,No summary
Gaza aid trucks frozen by Israel,https://news.sky.com/video/gaza-aid-trucks-frozen-by-israel-as-hamas-ceasefire-deal-ends-13320058,2025-03-06 08:04:59,No summary
Babies die from extreme cold in Gaza,https://news.sky.com/video/six-newborn-babies-die-from-severe-cold-in-gaza-13317453,2025-03-06 08:04:59,No summary
Gaza hostage family mourned in Israel,https://news.sky.com/video/thousands-of-israelis-bid-farewell-to-bibas-family-killed-in-gaza-13317484,2025-03-06 08:04:59,No summary
Israeli hostage 'starved and tortured',https://news.sky.com/video/freed-israeli-hostages-brother-tells-of-his-ordeal-in-hamas-captivity-13317225,2025-03-06 08:04:59,No summary
President shares 'Trump Gaza' AI video,https://news.sky.com/video/vertical-video-2-trump-gaza-truth-social-hub-mp4-13317318,2025-03-06 08:04:59,No summary
Teenagers among released Palestinians,https://news.sky.com/video/palestinian-prisoners-released-in-latest-exchange-of-hamas-israel-ceasefire-deal-13318229,2025-03-06 08:04:59,No summary
Palestinian prisoner release delayed,https://news.sky.com/video/families-wait-as-the-release-of-hundreds-of-palestinian-prisoners-is-delayed-13315402,2025-03-06 08:04:59,No summary
Chancellor's Spring Statement preview,https://news.sky.com/video/what-can-we-expect-in-the-chancellors-spring-statement-skys-sam-coates-explains-13322279,2025-03-06 08:04:59,No summary
Intelligence sharing pause 'gift for Putin',https://news.sky.com/video/us-pause-on-intelligence-sharing-with-ukraine-is-another-gift-for-putin-13322227,2025-03-06 08:04:59,No summary
China 'ready to fight till the end',https://news.sky.com/video/chinas-us-embassy-has-tweeted-a-strong-statement-saying-if-war-is-what-the-us-wants-they-are-ready-to-fight-till-the-end-13321941,2025-03-06 08:04:59,No summary
"Ukraine, Musk, and an evicted Democrat",https://news.sky.com/video/ukraine-musk-and-an-evicted-democrat-trumps-congress-speech-explained-13321796,2025-03-06 08:04:59,No summary
What's at risk for Ukraine?,https://news.sky.com/video/ukraine-military-aid-whats-at-stake-as-trump-halts-supplies-13321639,2025-03-06 08:04:59,No summary
Is Rachel Reeves about to cut welfare?,https://news.sky.com/video/politics-at-jack-and-sams-is-rachel-reeves-about-to-cut-welfare-13321856,2025-03-06 08:04:59,No summary
Musk 'figuratively and physically above' Cabinet,https://news.sky.com/video/sky-newss-explains-the-significance-of-elon-musks-position-in-the-first-ladys-box-during-trumps-congress-speech-13321857,2025-03-06 08:04:59,No summary
Breaking down the US-Ukraine fallout,https://news.sky.com/video/sky-correspondents-break-down-the-us-ukraine-fallout-13321499,2025-03-06 08:04:59,No summary
Swapping americanos for 'canadianos',https://news.sky.com/video/canadians-respond-to-tariffs-by-swapping-americanos-for-canadianos-13321466,2025-03-06 08:04:59,No summary
What we learnt from Meghan series,https://news.sky.com/video/with-love-meghan-what-does-duchess-of-sussex-say-about-her-time-as-a-royal-in-new-lifestyle-series-13321415,2025-03-06 08:04:59,No summary
Raducanu speaks out after stalker ordeal,https://news.sky.com/video/emma-raducanu-provides-update-after-stalking-ordeal-i-wasnt-sure-i-was-going-to-compete-so-soon-after-dubai-13321784,2025-03-06 08:04:59,No summary
UK living in 'fantasy' on Ukraine aid,https://news.sky.com/video/steve-bannon-uk-living-in-fantasy-on-sending-unlimited-aid-to-ukraine-13321546,2025-03-06 08:04:59,No summary
Zelenskyy is a 'punk',https://news.sky.com/video/steven-bannon-us-should-not-do-a-deal-with-ukraine-as-zelenskyy-had-his-shot-13321472,2025-03-06 08:04:59,No summary
'That's not government policy',https://news.sky.com/video/minister-slaps-down-uks-ambassador-to-us-for-contradicting-government-policy-13320662,2025-03-06 08:04:59,No summary
Sky News meets Zelenskyy: The key moments,https://news.sky.com/video/meeting-zelenskyy-from-the-ukraine-summit-to-the-interview-at-stansted-airport-13320597,2025-03-06 08:04:59,No summary
Referee abuse 'cancer that could kill football',https://news.sky.com/video/world-famous-referee-pierluigi-collina-on-what-needs-to-change-in-football-13319969,2025-03-06 08:04:59,No summary
Selling Sunset star on California fires,https://news.sky.com/video/selling-sunset-star-jason-oppenheim-talks-about-california-fires-13318791,2025-03-06 08:04:59,No summary
JD Vance was 'baiting Zelenskyy',https://news.sky.com/video/jd-vance-was-baiting-zelenskyy-in-front-of-the-wolrds-press-13319217,2025-03-06 08:04:59,No summary
Charity boss hits out at aid cuts,https://news.sky.com/video/save-the-children-boss-criticises-uk-and-us-foreign-aid-cuts-in-first-tv-interview-13318805,2025-03-06 08:04:59,No summary
Health sec: 'NHS not on table' in US talks,https://news.sky.com/video/health-secretary-nhs-is-not-on-the-table-in-us-trade-talks-13318562,2025-03-06 08:04:59,No summary
PhD student guilty of drugging and raping 10 women - as police fear more than 50 other victims,https://news.sky.com/story/phd-student-guilty-of-raping-10-women-in-london-and-china-13317429,2025-03-05 17:40:00,No summary
How one brave victim helped unmask a 'charming' student as a serial rapist - as police work to locate dozens of others,https://news.sky.com/story/zhenhao-zou-how-a-student-described-as-smart-and-charming-was-unmasked-as-a-prolific-sexual-predator-13321005,2025-03-05 17:23:00,No summary
UK nations plan joint bid to host 2035 FIFA Women's World Cup,https://news.sky.com/story/uk-set-to-bid-for-2035-womens-world-cup-13322248,2025-03-05 20:44:00,No summary
Judge blames 'widespread public disorder' during Leeds riot on 'dishonesty of parents',https://news.sky.com/story/authorities-involvement-with-family-which-sparked-leeds-riot-was-never-about-discrimination-judge-says-13322229,2025-03-05 22:40:00,No summary
NHS patients receiving UK-sourced plasma for the first time in a generation,https://news.sky.com/story/nhs-patients-receiving-uk-sourced-plasma-for-the-first-time-in-a-generation-13321964,2025-03-06 03:21:00,No summary
Woman who was paid £20k after being told she had scooped Paddy Power's £1m jackpot wins court case,https://news.sky.com/story/gardener-wins-high-court-case-against-paddy-power-over-1m-jackpot-after-betting-firm-only-paid-her-20-000-13322187,2025-03-05 19:09:00,No summary
Skiers buried up to 30 metres deep in Alaska avalanche presumed dead,https://news.sky.com/story/three-skiers-buried-up-to-30-metres-deep-in-alaska-avalanche-presumed-dead-officials-say-13322336,2025-03-05 22:41:00,No summary
"Russia threatens all of Europe, Macron tells France; White House defends Musk's lack of a suit",https://news.sky.com/story/trump-zelenskyy-ukraine-putin-russia-starmer-summit-war-minerals-deal-live-sky-news-latest-12541713,2025-03-05 23:09:00,No summary
"Triple killer pushed niece in buggy before murders of mother and two daughters, CCTV shows",https://news.sky.com/story/kyle-clifford-cctv-shows-triple-killer-visiting-garden-centre-on-day-of-murders-13322047,2025-03-05 18:40:00,No summary
"Boy, 16, shot dead near Tube station is named",https://news.sky.com/story/boy-16-shot-dead-near-tube-station-in-south-london-is-named-13322048,2025-03-05 15:37:00,No summary
India walks tightrope harbouring deposed Bangladeshi PM,https://news.sky.com/story/sheikh-hasina-india-walks-a-tightrope-harbouring-deposed-bangladeshi-prime-minister-13322078,2025-03-05 18:10:00,No summary
Reform voters turn on Farage's friend Trump,https://news.sky.com/story/politics-latest-live-starmer-ukraine-zelenskyy-war-trump-macron-meloni-king-12593360,2025-03-05 08:26:00,No summary
Why is Noel Clarke suing The Guardian?,https://news.sky.com/story/why-is-noel-clarke-suing-the-guardian-13321785,2025-03-06 08:04:59,No summary
'Money dysmorphia' searches are rocketing - here are telltale signs you have it,https://news.sky.com/story/money-dysmorphia-searches-are-rocketing-here-are-telltale-signs-you-have-it-13321832,2025-03-06 08:04:59,No summary
"Electrocuted on their genitals, mouths sewn up, nails ripped off: Inside Bangladesh's 'death squad' jails",https://news.sky.com/story/electrocuted-beaten-and-left-to-die-the-horrors-of-bangladesh-s-death-squad-jails-13318685,2025-03-06 08:04:59,No summary
How Trump's tariffs could cost consumers in the US and UK - even if he spares Britain,https://news.sky.com/story/how-donald-trumps-tariffs-could-impact-us-consumers-and-the-uk-13300714,2025-03-06 08:04:59,No summary
The new employment rights you will get - and the one you won't,https://news.sky.com/story/the-new-employment-rights-you-will-get-and-the-one-you-wont-13321272,2025-03-06 08:04:59,No summary
India walks tightrope harbouring deposed Bangladeshi PM,https://news.sky.com/story/sheikh-hasina-india-walks-a-tightrope-harbouring-deposed-bangladeshi-prime-minister-13322078,2025-03-06 08:04:59,No summary
Political division in America has never looked like this before,https://news.sky.com/story/trump-speech-in-a-chamber-thick-with-acrimony-the-sales-pitch-quickly-descended-into-a-sporting-event-13321724,2025-03-06 08:04:59,No summary
Sky's royal correspondent: What I thought of Meghan's new Netflix show,https://news.sky.com/story/with-love-meghan-questions-remain-about-how-royal-couples-new-life-is-working-out-and-show-needs-to-succeed-13321326,2025-03-06 08:04:59,No summary
The most significant part of Zelenskyy's olive branch offering to Trump,https://news.sky.com/story/the-most-significant-part-of-volodymyr-zelenskyys-olive-branch-offering-to-donald-trump-13321407,2025-03-06 08:04:59,No summary
Four-day celebration for 80th VE Day anniversary announced,https://news.sky.com/story/ve-day-britons-urged-to-celebrate-80th-anniversary-with-street-parties-as-flypast-processions-and-concerts-planned-13321693,2025-03-06 08:04:59,No summary
'Dumb': Canadian PM criticises Trump over tariffs - and sends bold message to Americans,https://news.sky.com/story/donald-trump-confirms-mexico-and-canada-tariffs-sending-financial-markets-reeling-13321044,2025-03-06 08:04:59,No summary
Killer 'raped ex-partner' during triple murder of BBC commentator's family,https://news.sky.com/story/kyle-clifford-killer-raped-ex-partner-during-triple-murder-of-bbc-commentators-family-trial-hears-13321372,2025-03-06 08:04:59,No summary
'Corrupt' ex-prison officer who boasted about performing sex act on inmate jailed,https://news.sky.com/story/corrupt-ex-prison-officer-who-boasted-about-performing-sex-act-on-inmate-jailed-13321257,2025-03-06 08:04:59,No summary
Play the classic numbers game,https://news.sky.com/puzzles/sudoku,2025-03-06 08:04:59,No summary
Play our maths challenge,https://news.sky.com/puzzles/totalize,2025-03-06 08:04:59,No summary
Crack the code: one letter at a time,https://news.sky.com/puzzles/word-ladder,2025-03-06 08:04:59,No summary
Join the tracks and complete the journey,https://news.sky.com/puzzles/make-tracks,2025-03-06 08:04:59,No summary
Day 46: Why is Trump blindfolding Ukraine?,https://news.sky.com/story/day-46-why-is-trump-blindfolding-ukraine-13322442,2025-03-06 05:15:00,No summary
Are there signs that China is preparing for war?,https://news.sky.com/story/are-there-signs-that-china-is-preparing-for-war-13322022,2025-03-05 16:47:00,No summary
The plan to save Rachel Reeves,https://news.sky.com/story/the-plan-to-save-rachel-reeves-13321740,2025-03-05 07:57:00,No summary
"Peace in Europe, war with China?",https://news.sky.com/story/peace-in-europe-war-with-china-13321492,2025-03-05 06:00:00,No summary
Why is Noel Clarke suing The Guardian?,https://news.sky.com/story/why-is-noel-clarke-suing-the-guardian-13321785,2025-03-06 08:04:59,No summary
Jay-Z sues woman who accused him of rape,https://news.sky.com/story/jay-z-sues-woman-who-accused-him-of-rape-before-dropping-claim-13321556,2025-03-06 08:04:59,No summary
Adrien Brody gets first Olivier nod days after Oscar win - see full list of nominations,https://news.sky.com/story/olivier-awards-adrien-brody-gets-first-nomination-days-after-oscar-win-13321406,2025-03-06 08:04:59,No summary
Another broadcaster admits output featured Hamas official's son,https://news.sky.com/story/channel-4-news-admits-output-featured-hamas-officials-son-also-linked-to-bbc-documentary-on-gaza-13321414,2025-03-06 08:04:59,No summary
Scientists trying to bring back woolly mammoth create a woolly mouse,https://news.sky.com/story/scientists-trying-to-bring-back-the-woolly-mammoth-create-a-woolly-mouse-13321512,2025-03-06 08:04:59,No summary
'Incredibly disturbing': The misogynistic tropes being used in mobile games,https://news.sky.com/story/help-the-girl-how-mobile-games-profit-from-misogynistic-tropes-13320935,2025-03-06 08:04:59,No summary
Bill to limit harms of smartphone use among children to be published,https://news.sky.com/story/bill-to-limit-harms-of-smartphone-use-among-children-to-be-published-13321277,2025-03-06 08:04:59,No summary
'Stalker' threatens to kill Twitch creators during live stream,https://news.sky.com/story/twitch-creators-warn-other-women-after-stalker-threatens-to-kill-them-during-live-video-stream-13321201,2025-03-06 08:04:59,No summary
Alisson: PSG display the performance of my life,https://www.skysports.com/share/13322388,2025-03-06 08:04:59,No summary
Liverpool’s smash-and-grab stuns PSG to take lead back to Anfield,https://www.skysports.com/share/13320909,2025-03-06 08:04:59,No summary
WSL leaders Chelsea back to winning ways against Leicester,https://www.skysports.com/share/13322085,2025-03-06 08:04:59,No summary
Merse: I really worry for Man Utd | Palmer has to start vs Copenhagen,https://www.skysports.com/share/13322017,2025-03-06 08:04:59,No summary
"Get closer to the action with all 9 dedicated sports channels, including Premier League, F1 and more.",https://www.sky.com/shop/tv/sports/?dcmp=dmc-skycom:na_news_sscom_gss_shop_skynews,2025-03-06 08:04:59,No summary
Sky Cinema brings you more of the latest blockbusters than anywhere else,https://www.sky.com/shop/tv/cinema?dcmp=bac-SS.com_AroundSky_Homepage_SkyCinemaUpgradeC,2025-03-06 08:04:59,No summary
Stream world-class sport on NOW for just £34.99 a month without a contract on NOW for all 11 Sky Sports channels.,https://www.nowtv.com/watch-sky-sports-online?dcmp=ilc_SSNTV_skynews_aroundsky_GSS_pass,2025-03-06 08:04:59,No summary
